ESV,Kingdom,Phylum,Class,Order,Family,Genus
OTU_1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella
OTU_2,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella
OTU_3,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,
OTU_4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
OTU_5,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylotenera
OTU_6,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces
OTU_7,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia
OTU_8,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella
OTU_9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,
OTU_10,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,
OTU_11,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter
OTU_12,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella
OTU_13,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Methylibium
OTU_14,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],
OTU_15,Bacteria,Planctomycetes,Planctomycetia,,,
OTU_16,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,
OTU_17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,
OTU_18,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces
OTU_19,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,
OTU_20,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
OTU_21,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Sediminibacterium
OTU_22,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylotenera
OTU_23,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
OTU_24,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula
OTU_25,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],
OTU_26,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Methylibium
OTU_27,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,ACK-M1,
OTU_28,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,
OTU_29,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,
OTU_30,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
OTU_31,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia
OTU_32,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
OTU_33,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
OTU_34,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,
OTU_35,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia
OTU_36,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella
OTU_37,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Sediminibacterium
OTU_38,Bacteria,Proteobacteria,Betaproteobacteria,,,
OTU_39,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella
OTU_40,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces
OTU_41,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter
OTU_42,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseococcus
OTU_43,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Sediminibacterium
OTU_44,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,
OTU_45,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces
OTU_46,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia
OTU_47,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,ACK-M1,
OTU_48,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
OTU_49,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
OTU_50,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces
OTU_51,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,
OTU_52,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,
OTU_53,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula
OTU_54,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
OTU_55,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylotenera
OTU_56,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Sediminibacterium
OTU_57,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,
OTU_58,Bacteria,Proteobacteria,Betaproteobacteria,,,
OTU_59,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,
OTU_60,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,
OTU_61,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,
OTU_62,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,
OTU_63,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Sediminibacterium
OTU_64,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces
OTU_65,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,ACK-M1,
OTU_66,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella
OTU_67,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],
OTU_68,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax
OTU_69,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Methylibium
OTU_70,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
OTU_71,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],
OTU_72,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
OTU_73,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter
OTU_74,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,ACK-M1,
OTU_75,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Sediminibacterium
OTU_76,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Polynucleobacter
