micropollutant,treatment,replicate,batch,removal 
BPA,BPA,1,I1,79.4661191
BPA,BPA,1,I2,100
BPA,BPA,1,I3,100
BPA,BPA,1,I4,98.78694158
BPA,BPA,1,I5,100
BPA,BPA,1,I6,100
BPA,BPA,1,I7,100
BPA,BPA,2,I1,70.09868421
BPA,BPA,2,I2,100
BPA,BPA,2,I3,100
BPA,BPA,2,I4,98.875
BPA,BPA,2,I5,100
BPA,BPA,2,I6,100
BPA,BPA,2,I7,100
BPA,BPA,3,I1,88.39393939
BPA,BPA,3,I2,100
BPA,BPA,3,I3,100
BPA,BPA,3,I4,98.02140673
BPA,BPA,3,I5,100
BPA,BPA,3,I6,100
BPA,BPA,3,I7,100
TCS,TCS,1,I1,56.03674541
TCS,TCS,1,I2,36.11473272
TCS,TCS,1,I3,0
TCS,TCS,1,I4,57.82051282
TCS,TCS,1,I5,17.5
TCS,TCS,1,I6,0
TCS,TCS,1,I7,40.3960396
TCS,TCS,2,I1,61.47540984
TCS,TCS,2,I2,53.89048991
TCS,TCS,2,I3,0
TCS,TCS,2,I4,0
TCS,TCS,2,I5,0
TCS,TCS,2,I6,0
TCS,TCS,2,I7,13.55932203
TCS,TCS,3,I1,59.67016492
TCS,TCS,3,I2,8.71559633
TCS,TCS,3,I3,6.126687435
TCS,TCS,3,I4,0
TCS,TCS,3,I5,34.76744186
TCS,TCS,3,I6,0
TCS,TCS,3,I7,12.2681883
BPA,MI,1,I1,25.13417323
BPA,MI,1,I2,18.61545455
BPA,MI,1,I3,14.51384615
BPA,MI,1,I4,9.372477064
BPA,MI,1,I5,NA
BPA,MI,1,I6,28.64045326
BPA,MI,1,I7,13.76
BPA,MI,2,I1,21.00347826
BPA,MI,2,I2,39.80189386
BPA,MI,2,I3,32.968
BPA,MI,2,I4,44.98966
BPA,MI,2,I5,0
BPA,MI,2,I6,36.28115385
BPA,MI,2,I7,37.73230769
BPA,MI,3,I1,0
BPA,MI,3,I2,0
BPA,MI,3,I3,0
BPA,MI,3,I4,0
BPA,MI,3,I5,0
BPA,MI,3,I6,16.71315436
BPA,MI,3,I7,17.68
TCS,MI,1,I1,17.72575251
TCS,MI,1,I2,22.23451327
TCS,MI,1,I3,0
TCS,MI,1,I4,0
TCS,MI,1,I5,NA
TCS,MI,1,I6,0
TCS,MI,1,I7,46.83698297
TCS,MI,2,I1,25.52783109
TCS,MI,2,I2,35.68627451
TCS,MI,2,I3,0
TCS,MI,2,I4,51.35542169
TCS,MI,2,I5,25.70866142
TCS,MI,2,I6,18.86559803
TCS,MI,2,I7,61.28440367
TCS,MI,3,I1,40.92436975
TCS,MI,3,I2,17.00223714
TCS,MI,3,I3,0
TCS,MI,3,I4,45.99303136
TCS,MI,3,I5,34.25
TCS,MI,3,I6,34.90759754
TCS,MI,3,I7,23.9047619
BPA,MII,1,I1,37.09509434
BPA,MII,1,I2,27.88352941
BPA,MII,1,I3,32.968
BPA,MII,1,I4,0
BPA,MII,1,I5,NA
BPA,MII,1,I6,6.394193548
BPA,MII,1,I7,42.35649289
BPA,MII,2,I1,51.49
BPA,MII,2,I2,99.54960703
BPA,MII,2,I3,99.28318814
BPA,MII,2,I4,98.96567942
BPA,MII,2,I5,97.93064552
BPA,MII,2,I6,66.86092308
BPA,MII,2,I7,20.92947368
BPA,MII,3,I1,42.88
BPA,MII,3,I2,98.75482353
BPA,MII,3,I3,99.3287
BPA,MII,3,I4,99.49485455
BPA,MII,3,I5,96.68601471
BPA,MII,3,I6,98.58463962
BPA,MII,3,I7,99.1302713
TCS,MII,1,I1,24.43946188
TCS,MII,1,I2,29.5
TCS,MII,1,I3,0
TCS,MII,1,I4,0
