#OTU ID,I1BEC001,I1BEC002,I1BEC003,I1BPA001,I1BPA002,I1BPA003,I1TCS001,I1TCS002,I1TCS003,I01MI001,I01MI002,I01MI003,I1MII001,I1MII002,I1MII003,I3BEC001,I3BEC002,I3BEC003,I3BPA001,I3BPA002,I3BPA003,I3TCS001,I3TCS002,I3TCS003,I03MI001,I03MI002,I03MI003,I3MII001,I3MII002,I3MII003,I5BEC001,I5BEC002,I5BEC003,I5BPA001,I5BPA002,I5BPA003,I5TCS001,I5TCS002,I5TCS003,I05MI001,I05MI002,I05MI003,I5MII001,I5MII002,I5MII003,I7BEC001,I7BEC002,I7BEC003,I7BPA001,I7BPA002,I7BPA003,I7TCS001,I7TCS002,I7TCS003,I07MI001,I07MI002,I07MI003,I7MII001,I7MII002,I7MII003,I2BEC001,I2BEC002,I2BEC003,I2BPA001,I2BPA002,I2BPA003,I2TCS001,I2TCS002,I2TCS003,I02MI001,I02MI002,I02MI003,I2MII001,I2MII002,I2MII003,I4BEC001,I4BEC002,I4BEC003,I4BPA001,I4BPA002,I4BPA003,I4TCS001,I4TCS002,I4TCS003,I04MI001,I04MI002,I04MI003,I4MII001,I4MII002,I4MII003,I6BEC001,I6BEC002,I6BEC003,I6BPA001,I6BPA002,I6BPA003,I6TCS001,I6TCS002,I6TCS003,I06MI001,I06MI002,I06MI003,I6MII001,I6MII002,I6MII003,taxonomy
OTU_1,8534,7219,5513,10235,8144,9877,6832,6340,7642,6261,5799,4315,7534,6071,4886,9721,9327,10758,9474,9096,11504,7055,12836,12449,10954,10041,13235,12210,11275,11717,7175,8556,6898,8147,8844,8334,9605,9871,10711,10959,13609,11034,10009,8955,8335,7015,5728,3735,8542,6840,8180,13054,10253,7863,9832,11309,9400,12991,7233,10971,9299,7224,8008,6887,6676,5657,5219,6277,7816,4893,7009,8562,5739,6714,4445,8017,10643,8797,8629,10694,6690,10678,10727,11278,10166,14704,10448,10037,12771,8905,9701,8316,4701,2466,12583,10486,8495,8455,10679,8179,11611,5548,5430,7291,4950,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Runella; s__
OTU_2,546,33,37,7,60,2,11,33,5,35,43,14,12,7,28,3505,2318,641,1351,2772,2106,2144,2975,4545,279,6722,1094,788,1159,2591,1719,1218,1415,1293,2462,237,1742,3012,2605,961,3185,2209,1813,1611,1465,801,289,285,131,1928,480,1016,1399,1787,1735,3835,911,3584,2064,447,1423,1714,986,326,1694,1273,30,355,963,632,165,1466,495,990,867,330,1575,1701,2199,241,2970,967,692,1862,2038,6793,3818,1641,2905,2831,899,448,10,246,1192,2121,2384,1815,4418,1407,6481,439,2432,190,2955,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Runella; s__
OTU_3,4805,4355,4943,3337,4008,584,3250,5401,7165,5763,3985,4751,1437,3451,7417,3,9,5482,1,11,26,6540,74,46,29,398,22,10,20,66,6,9,134,5,32,24,1474,464,194,18,793,22,7,32,0,167,573,317,0,18,43,969,1459,88,43,1790,11,5,119,3,4084,4662,9955,273,5013,5477,4526,4196,2826,6514,6171,112,5047,28,434,10,2,119,4,17,8,2955,112,53,8,301,18,3,16,5,5,71,4,479,11,11,347,91,120,10,53,8,1,3,0,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__
OTU_4,1234,726,801,795,1008,2251,1640,579,2378,2282,3334,744,2029,4139,2237,220,813,498,1139,615,3470,173,833,1775,2477,791,2431,1261,2251,2452,394,2391,761,1389,1502,769,1360,266,1367,1214,1043,2253,510,770,1592,645,997,217,645,647,611,398,123,424,2575,113,3563,1590,279,807,1095,1105,1021,2014,397,379,1389,1510,3788,1729,1223,1701,1911,1724,813,396,2656,1272,1731,1961,1783,292,1423,999,2381,1631,731,2068,2813,1548,677,773,389,373,2367,1066,453,63,77,2429,337,2896,661,2570,335,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
OTU_5,1873,4314,1472,117,492,101,386,1873,428,133,277,82,1045,1467,299,150,2307,332,221,772,320,2950,976,234,1059,665,222,911,746,183,828,1653,1195,262,527,718,3409,155,134,973,1527,1121,1177,1836,1038,414,615,273,989,4085,2387,788,377,951,2480,3038,742,1991,4745,2306,2377,3524,1300,1501,3897,1311,3885,6164,1605,1514,833,1712,2013,2025,490,179,144,325,133,653,977,830,800,598,462,714,528,433,543,289,299,736,64,802,749,1035,2890,1986,1414,1089,513,586,104,196,292,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__Methylotenera; s__mobilis
OTU_6,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,113,847,0,300,138,0,191,322,1652,783,151,5,92,29,700,3156,2406,13,3108,3807,3,1443,1234,3908,4564,1330,689,4751,1295,152,662,852,0,1992,3926,304,1068,91,6350,890,519,916,2449,614,223,0,10,0,0,5,5,8,3,4,10,0,5,5,1,25,1926,811,0,2621,2005,3,1831,5168,4582,4393,837,122,1079,253,1429,2633,1598,1,150,3515,11,5910,2260,3864,5616,828,278,353,52,414,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__
OTU_7,744,81,66,29,335,2310,725,701,919,1407,1821,5208,78,666,918,4064,1156,33,818,2793,2369,229,1527,752,1392,245,40,2184,842,2346,7,6,3,688,66,45,26,283,481,398,12,15,323,25,13,0,0,85,23,16,5,0,190,183,190,0,136,3,117,31,1247,360,336,324,948,1839,1540,660,2222,1425,1761,4192,927,4953,2535,1101,2012,12,1142,568,145,163,139,419,1075,87,13,2902,202,8,3,0,10,1004,54,71,1,179,317,590,13,96,1,444,13,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Emticicia; s__
OTU_8,1293,9,3,11,117,0,3,8,3,27,6,35,20,2,11,537,426,113,1015,523,850,2,684,1031,3401,118,2291,1540,2142,595,6,243,294,822,380,817,1302,360,1145,2362,814,354,1380,288,546,640,43,116,1257,36,871,2191,2590,424,243,779,167,2320,310,1777,609,2,222,70,1022,232,168,278,123,276,355,399,99,812,156,1310,1154,203,521,2938,75,2239,1539,2855,573,997,901,366,1841,516,1852,1079,27,110,2555,572,407,1454,772,702,5,93,576,2319,70,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Runella; s__
OTU_9,303,1776,2141,675,1948,3304,1328,2875,2398,1446,1945,2242,883,3334,2463,143,418,201,177,701,387,984,1453,835,387,1083,739,399,508,186,539,286,714,879,866,774,1403,2114,810,1215,308,575,782,643,1040,87,2694,19,310,354,156,416,657,306,453,765,213,653,450,275,237,366,979,965,563,690,562,848,440,296,722,1017,279,461,186,129,214,332,140,216,191,456,204,700,143,250,394,242,344,428,90,238,156,33,255,289,388,403,638,265,480,224,240,208,501,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
OTU_10,134,3,11,0,0,0,0,0,0,0,0,0,0,0,0,656,477,1933,1680,5,1538,5,0,0,0,0,0,0,0,0,2508,3199,5587,2823,18,6017,4,1,0,0,0,0,0,0,0,2356,3851,2697,3362,23,3727,0,0,0,1,1,0,0,0,3,1161,58,274,16,0,1597,0,0,0,0,0,0,1,0,0,1587,799,3452,3112,9,5907,0,0,1,0,0,0,0,0,6,2480,2873,383,33,9,5503,0,0,13,1,0,0,0,0,2,k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__Armatimonadaceae
OTU_11,649,193,259,220,312,213,2510,367,367,202,656,265,233,501,145,912,762,489,3807,1752,394,1493,644,66,741,241,865,1322,548,122,35,8,65,2309,807,112,1202,3039,107,7,359,60,950,12,140,11,15,4,106,123,1638,1021,2056,41,30,1192,775,10,0,34,633,1279,322,318,1610,388,332,1540,2593,1426,1509,1721,840,2414,372,127,296,232,2060,1144,509,1376,137,115,333,66,17,441,178,1085,5,7,1,372,174,134,377,634,77,3,227,84,114,2,39,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Prosthecobacter; s__
OTU_12,289,8,0,13,46,1,4,6,34,0,8,44,9,0,14,849,675,1881,1037,752,1099,319,1400,0,646,1,1468,1161,557,774,229,564,2,0,541,1141,667,0,1013,518,980,0,1239,393,662,328,0,102,246,0,640,1555,634,570,427,1097,3231,1,429,2388,680,288,448,938,0,258,216,152,0,339,93,568,0,646,238,1884,592,0,1,616,0,1349,1086,891,653,1139,1094,4255,0,672,1243,747,5,146,687,792,1,1314,1054,713,1063,188,0,471,1,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Runella; s__
OTU_13,68,227,61,252,607,744,298,485,128,329,949,211,114,1046,233,9,9,302,13,9,29,216,45,2,247,367,226,181,538,78,117,55,201,128,221,107,567,233,76,219,302,1104,156,249,104,243,188,466,452,169,364,441,119,304,139,42,543,889,825,369,346,69,74,2860,81,147,72,175,119,151,177,247,92,71,37,168,38,82,42,37,45,103,21,11,84,254,113,69,73,199,838,411,5849,972,507,1219,1857,607,72,126,1590,4517,8199,2480,70,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__
OTU_14,2,1,0,0,0,0,0,0,0,0,0,0,7,1,7,0,2672,6,0,0,0,3,0,1,1,5,2,1734,451,911,0,91,635,66,10,1,3,1,1,2,0,0,2230,1540,5753,1,53,113,183,1829,20,0,0,0,0,0,1,559,6,895,0,790,0,0,1,1,0,0,0,1,0,3,2515,2,7995,0,2603,72,4,0,1,0,0,0,0,0,2,889,2664,3514,0,21,130,0,320,1,0,0,7,0,0,0,180,0,7853,k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__; s__
OTU_15,133,7,8,4,15,5,3,23,48,18,29,138,8,12,10,1630,548,50,821,964,679,22,269,481,391,565,874,942,1007,1312,367,167,72,437,1751,391,323,460,516,291,319,894,725,1455,1569,160,23,27,305,371,316,255,999,217,600,510,1216,172,757,840,176,57,52,2,249,178,7,362,307,419,622,1387,347,673,816,1531,666,35,511,1140,390,180,68,429,585,328,1715,956,1158,1416,108,62,4,179,532,245,91,167,250,164,259,866,247,482,1440,k__Bacteria; p__Planctomycetes; c__Planctomycetia
OTU_16,865,1486,1758,477,788,114,1758,2210,1448,3022,1563,489,338,1655,5937,2,2,1101,0,0,10,1036,14,9,3,146,4,1,3,14,0,0,28,0,0,0,367,141,79,0,133,1,0,4,0,0,101,178,0,0,0,71,29,1,13,399,0,1,7,2,2048,881,2626,67,2918,2481,447,1146,1513,5595,1406,35,1991,4,110,0,0,65,0,0,0,571,10,0,0,171,10,1,3,3,0,0,0,373,0,0,106,5,2,1,8,0,0,0,0,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__
OTU_17,171,280,217,190,303,19,11,242,435,434,169,17,373,286,451,113,296,281,123,343,673,12,454,1515,1118,1186,1682,662,1195,1190,276,289,14,198,178,608,14,217,718,696,435,534,520,1077,1703,866,242,94,15,41,211,188,136,40,685,193,365,270,45,430,121,251,210,32,40,134,443,892,1227,655,1219,1060,1232,1256,1310,104,270,233,155,390,468,156,859,484,363,630,1273,599,553,672,152,111,5,1,144,98,174,5,36,385,3,72,0,14,506,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
OTU_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,451,0,102,53,0,65,70,806,63,27,3,12,9,456,876,218,5,2392,151,3,357,262,818,445,175,376,1334,487,96,68,160,0,144,1068,45,71,15,3874,169,236,49,1834,36,51,3,5,0,0,0,0,5,2,0,1,0,1,0,0,19,445,295,0,1564,92,1,491,565,1044,3393,181,93,66,216,200,290,177,0,40,132,2,3484,711,1875,4472,333,48,211,8,150,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__
OTU_19,2113,746,1758,499,1083,109,384,475,524,1762,1088,3059,400,678,866,0,2,417,0,0,3,2276,4,1,4,1,9,0,5,14,1,0,8,0,0,9,406,28,0,3,72,2,0,1,0,1,0,10,0,0,1,99,244,0,0,15,0,1,6,2,720,1834,1039,29,1957,2062,3278,1459,621,1228,3454,21,2743,4,61,1,0,18,0,3,0,894,12,8,0,22,0,0,3,2,0,0,0,61,1,1,124,1,2,0,7,0,0,0,0,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__
OTU_20,685,616,608,438,396,4001,248,41,96,36,86,13,219,90,168,257,397,690,588,178,569,144,29,114,24,200,184,8,24,51,374,409,782,543,454,637,238,81,32,198,102,387,102,178,92,820,797,373,2563,1355,685,488,76,604,813,42,149,185,201,49,700,695,542,2196,245,627,147,21,33,7,774,150,28,25,18,426,596,779,574,501,399,240,15,9,9,103,129,2,18,48,244,236,1749,164,327,435,46,3,3,183,8,54,14,9,8,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__
OTU_21,34,4,6,1,33,35,16,4,4,6,26,22,10,14,6,727,68,1,127,141,409,35,27,3,68,5,229,37,733,29,3105,543,3,58,13,203,170,126,1,138,4,652,11,850,106,5811,3398,7180,13,20,129,127,13,55,214,0,34,2,7,111,33,37,2,14,183,144,79,28,4,20,77,6,7,62,91,1779,240,12,61,137,355,140,10,6,166,25,15,149,873,90,2094,2460,733,0,101,184,461,65,10,274,47,43,12,1008,6,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
OTU_22,870,0,85,26,197,43,0,892,81,0,71,39,735,179,113,0,1100,60,72,280,162,1060,319,27,370,200,125,173,302,56,289,524,206,0,123,292,1960,22,27,466,0,46,315,560,366,254,80,78,341,1188,940,176,136,248,0,1308,109,1,1104,792,1025,1422,456,317,0,347,1444,3340,213,529,487,0,72,715,188,96,109,50,20,263,307,386,186,254,141,0,307,91,0,77,151,190,43,312,429,1,114,733,496,469,262,269,22,90,93,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__Methylotenera; s__mobilis
OTU_23,1362,339,178,263,631,137,997,879,166,497,461,107,125,213,176,18,28,16,101,137,24,120,53,96,24,40,11,189,35,302,22,10,44,29,407,29,51,14,13,19,208,234,25,15,235,0,29,115,127,19,664,2,6,190,1,5,461,31,217,168,35,309,97,861,196,47,680,216,223,159,38,167,64,45,257,355,10,77,8,132,8,55,2,10,26,5,10,16,28,47,36,153,3434,35,151,400,30,231,411,107,2134,4195,1783,4399,17,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
