#OTU ID,Treatment,Time,Phase
I1BEC001,BEC,5,P1
I1BEC002,BEC,5,P1
I1BEC003,BEC,5,P1
I1BPA001,BPA,5,P1
I1BPA002,BPA,5,P1
I1BPA003,BPA,5,P1
I1TCS001,TCS,5,P1
I1TCS002,TCS,5,P1
I1TCS003,TCS,5,P1
I01MI001,MI,5,P1
I01MI002,MI,5,P1
I01MI003,MI,5,P1
I1MII001,MII,5,P1
I1MII002,MII,5,P1
I1MII003,MII,5,P1
I3BEC001,BEC,15,P2
I3BEC002,BEC,15,P2
I3BEC003,BEC,15,P2
I3BPA001,BPA,15,P2
I3BPA002,BPA,15,P2
I3BPA003,BPA,15,P2
I3TCS001,TCS,15,P2
I3TCS002,TCS,15,P2
I3TCS003,TCS,15,P2
I03MI001,MI,15,P2
I03MI002,MI,15,P2
I03MI003,MI,15,P2
I3MII001,MII,15,P2
I3MII002,MII,15,P2
I3MII003,MII,15,P2
I5BEC001,BEC,25,P3
I5BEC002,BEC,25,P3
I5BEC003,BEC,25,P3
I5BPA001,BPA,25,P3
I5BPA002,BPA,25,P3
I5BPA003,BPA,25,P3
I5TCS001,TCS,25,P3
I5TCS002,TCS,25,P3
I5TCS003,TCS,25,P3
I05MI001,MI,25,P3
I05MI002,MI,25,P3
I05MI003,MI,25,P3
I5MII001,MII,25,P3
I5MII002,MII,25,P3
I5MII003,MII,25,P3
I7BEC001,BEC,35,P3
I7BEC002,BEC,35,P3
I7BEC003,BEC,35,P3
I7BPA001,BPA,35,P3
I7BPA002,BPA,35,P3
I7BPA003,BPA,35,P3
I7TCS001,TCS,35,P3
I7TCS002,TCS,35,P3
I7TCS003,TCS,35,P3
I07MI001,MI,35,P3
I07MI002,MI,35,P3
I07MI003,MI,35,P3
I7MII001,MII,35,P3
I7MII002,MII,35,P3
I7MII003,MII,35,P3
I2BEC001,BEC,10,P1
I2BEC002,BEC,10,P1
I2BEC003,BEC,10,P1
I2BPA001,BPA,10,P1
I2BPA002,BPA,10,P1
I2BPA003,BPA,10,P1
I2TCS001,TCS,10,P1
I2TCS002,TCS,10,P1
I2TCS003,TCS,10,P1
I02MI001,MI,10,P1
I02MI002,MI,10,P1
I02MI003,MI,10,P1
I2MII001,MII,10,P1
I2MII002,MII,10,P1
I2MII003,MII,10,P1
I4BEC001,BEC,20,P2
I4BEC002,BEC,20,P2
I4BEC003,BEC,20,P2
I4BPA001,BPA,20,P2
I4BPA002,BPA,20,P2
I4BPA003,BPA,20,P2
I4TCS001,TCS,20,P2
I4TCS002,TCS,20,P2
I4TCS003,TCS,20,P2
I04MI001,MI,20,P2
I04MI002,MI,20,P2
I04MI003,MI,20,P2
I4MII001,MII,20,P2
I4MII002,MII,20,P2
I4MII003,MII,20,P2
I6BEC001,BEC,30,P3
I6BEC002,BEC,30,P3
I6BEC003,BEC,30,P3
I6BPA001,BPA,30,P3
I6BPA002,BPA,30,P3
I6BPA003,BPA,30,P3
I6TCS001,TCS,30,P3
I6TCS002,TCS,30,P3
I6TCS003,TCS,30,P3
I06MI001,MI,30,P3
I06MI002,MI,30,P3
I06MI003,MI,30,P3
I6MII001,MII,30,P3
I6MII002,MII,30,P3
I6MII003,MII,30,P3
