Days,BPA,TCS,MI,MII
5,0.50125,0.46848,0.43902,0.51954
5,0.36841,0.33843,0.30517,0.39747
5,0.38788,0.37792,0.28126,0.40915
5,0.37269,0.41711,0.46327,0.48049
5,0.27862,0.28092,0.3748,0.36166
5,0.32346,0.28908,0.36855,0.36763
5,0.54398,0.44184,0.51411,0.51309
5,0.49768,0.38501,0.51011,0.44299
5,0.5457,0.39114,0.45219,0.39807
10,0.5527,0.42499,0.37435,0.37933
10,0.56787,0.34214,0.38082,0.30185
10,0.53802,0.46471,0.35049,0.39238
10,0.32622,0.35969,0.36453,0.48463
10,0.26191,0.27054,0.35595,0.49805
10,0.35764,0.4206,0.34127,0.56286
10,0.30813,0.33885,0.4161,0.63181
10,0.37708,0.38616,0.51234,0.62576
10,0.32624,0.38937,0.53732,0.68115
15,0.43365,0.63491,0.48513,0.41734
15,0.43368,0.51661,0.44136,0.38332
15,0.47717,0.45959,0.52249,0.51104
15,0.30872,0.40664,0.49422,0.43607
15,0.35083,0.40605,0.50828,0.44029
15,0.56874,0.47433,0.52958,0.51763
15,0.31972,0.46147,0.50738,0.38197
15,0.40268,0.46372,0.52727,0.39626
15,0.44969,0.56103,0.46235,0.53054
20,0.40994,0.47202,0.47759,0.47081
20,0.39579,0.48339,0.36509,0.33162
20,0.36161,0.58784,0.53521,0.56511
20,0.41275,0.49031,0.53358,0.53402
20,0.37674,0.47585,0.45849,0.30838
20,0.53169,0.5578,0.5048,0.52654
20,0.5859,0.45655,0.57099,0.52224
20,0.54801,0.44454,0.50032,0.38538
20,0.37986,0.54002,0.51326,0.50879
25,0.37103,0.51875,0.47624,0.46778
25,0.39331,0.42471,0.41084,0.42752
25,0.4916,0.58742,0.59167,0.61184
25,0.44217,0.56446,0.54351,0.43407
25,0.39418,0.54308,0.45652,0.37668
25,0.57498,0.62402,0.60407,0.54804
25,0.4799,0.47897,0.49864,0.57445
25,0.44409,0.44887,0.4307,0.49394
25,0.35452,0.60821,0.53116,0.5621
30,0.81818,0.48133,0.5028,0.69964
30,0.82246,0.54252,0.51526,0.72647
30,0.82786,0.71294,0.75461,0.4294
30,0.35671,0.51754,0.51971,0.55954
30,0.45011,0.54103,0.58643,0.59836
30,0.74946,0.78555,0.65547,0.44473
30,0.39942,0.46322,0.70431,0.74313
30,0.43495,0.51734,0.69578,0.75733
30,0.698,0.80069,0.44707,0.80406
35,0.50778,0.60112,0.5978,0.6317
35,0.54823,0.66968,0.63828,0.68878
35,0.65772,0.76645,0.77227,0.7754
35,0.61097,0.6434,0.63904,0.61586
35,0.65769,0.72662,0.70754,0.7038
35,0.79253,0.78119,0.79303,0.7503
35,0.48375,0.58292,0.62239,0.60821
35,0.52663,0.68287,0.68965,0.69815
35,0.62911,0.76324,0.775,0.76572
