chemical,treatment,removal,oder
BPA,BPA,79.46612,a
BPA,BPA,100,a
BPA,BPA,100,a
BPA,BPA,98.78694,a
BPA,BPA,100,a
BPA,BPA,100,a
BPA,BPA,100,a
BPA,BPA,70.09868,a
BPA,BPA,100,a
BPA,BPA,100,a
BPA,BPA,98.875,a
BPA,BPA,100,a
BPA,BPA,100,a
BPA,BPA,100,a
BPA,BPA,88.39394,a
BPA,BPA,100,a
BPA,BPA,100,a
BPA,BPA,98.02141,a
BPA,BPA,100,a
BPA,BPA,100,a
BPA,BPA,100,a
BPA,MI,25.13417,c
BPA,MI,18.61545,c
BPA,MI,14.51385,c
BPA,MI,9.37248,c
BPA,MI,28.64045,c
BPA,MI,13.76,c
BPA,MI,21.00348,c
BPA,MI,39.80189,c
BPA,MI,32.968,c
BPA,MI,44.98966,c
BPA,MI,0,c
BPA,MI,36.28115,c
BPA,MI,37.73231,c
BPA,MI,0,c
BPA,MI,0,c
BPA,MI,0,c
BPA,MI,0,c
BPA,MI,0,c
BPA,MI,16.71315,c
BPA,MI,17.68,c
TCS,TCS,56.03675,b
TCS,TCS,36.11473,b
TCS,TCS,0,b
TCS,TCS,57.82051,b
TCS,TCS,17.5,b
TCS,TCS,0,b
TCS,TCS,40.39604,b
TCS,TCS,61.47541,b
TCS,TCS,53.89049,b
TCS,TCS,0,b
TCS,TCS,0,b
TCS,TCS,0,b
TCS,TCS,0,b
TCS,TCS,13.55932,b
TCS,TCS,59.67016,b
TCS,TCS,8.7156,b
TCS,TCS,6.12669,b
TCS,TCS,0,b
TCS,TCS,34.76744,b
TCS,TCS,0,b
TCS,TCS,12.26819,b
TCS,MI,17.72575,d
TCS,MI,22.23451,d
TCS,MI,0,d
TCS,MI,0,d
TCS,MI,0,d
TCS,MI,46.83698,d
TCS,MI,25.52783,d
TCS,MI,35.68627,d
TCS,MI,0,d
TCS,MI,51.35542,d
TCS,MI,25.70866,d
TCS,MI,18.8656,d
TCS,MI,61.2844,d
TCS,MI,40.92437,d
TCS,MI,17.00224,d
TCS,MI,0,d
TCS,MI,45.99303,d
TCS,MI,34.25,d
TCS,MI,34.9076,d
TCS,MI,23.90476,d
TCS,MII,24.43946,f
TCS,MII,29.5,f
TCS,MII,0,f
TCS,MII,0,f
TCS,MII,0,f
TCS,MII,47.01087,f
TCS,MII,37.91267,f
TCS,MII,0,f
TCS,MII,13.38028,f
TCS,MII,0,f
TCS,MII,20.30534,f
TCS,MII,48.44398,f
TCS,MII,13.11475,f
TCS,MII,0,f
TCS,MII,27.90323,f
TCS,MII,10.87763,f
TCS,MII,0,f
TCS,MII,0,f
TCS,MII,2.36337,f
TCS,MII,0,f
BPA,MII,37.09509,e
BPA,MII,27.88353,e
BPA,MII,32.968,e
BPA,MII,0,e
BPA,MII,6.39419,e
BPA,MII,42.35649,e
BPA,MII,51.49,e
BPA,MII,99.54961,e
BPA,MII,99.28319,e
BPA,MII,98.96568,e
BPA,MII,97.93065,e
BPA,MII,66.86092,e
BPA,MII,20.92947,e
BPA,MII,42.88,e
BPA,MII,98.75482,e
BPA,MII,99.3287,e
BPA,MII,99.49485,e
BPA,MII,96.68601,e
BPA,MII,98.58464,e
BPA,MII,99.13027,e
BPS,MII,1.68303,g
BPS,MII,0,g
BPS,MII,20.96774,g
BPS,MII,3.23232,g
BPS,MII,0,g
BPS,MII,0,g
BPS,MII,0,g
BPS,MII,10.63636,g
BPS,MII,29.90909,g
BPS,MII,0,g
BPS,MII,6.03448,g
BPS,MII,0,g
BPS,MII,7.62376,g
BPS,MII,5.64516,g
BPS,MII,4.2735,g
BPS,MII,22.58772,g
BPS,MII,0,g
BPS,MII,0,g
BPS,MII,0,g
TCC,MII,58.66834,h
TCC,MII,0,h
TCC,MII,21.5873,h
TCC,MII,2.06972,h
TCC,MII,14.33566,h
TCC,MII,9.90826,h
TCC,MII,0,h
TCC,MII,14.05405,h
TCC,MII,0,h
TCC,MII,7.76596,h
TCC,MII,19.56783,h
TCC,MII,20,h
TCC,MII,5.88235,h
TCC,MII,14.70588,h
TCC,MII,0,h
TCC,MII,23.10231,h
TCC,MII,0,h
TCC,MII,15.78431,h
TCC,MII,0,h
